nine_d_train,nine_d_val,six_d_train,six_d_val,multi_head_train,multi_head_val
0.011312557123135775,0.010650938676204532,0.0032915319907478985,0.003936780641553924,0.17411710735410452,0.15582680501043797
0.01297498681815341,0.010046658513136209,0.003607845080085099,0.0042527643954381345,,
0.007289721484063193,0.017745056724641474,0.009332790658809246,0.009963961815461515,,
0.01504749366827309,0.026878918741829693,0.045157858435064556,0.04635017421469092,,
0.022605414151214066,0.019518583106808367,0.07435618302971124,0.0788564279153943,,
0.033176839222200216,0.037311468727886675,0.17507778161764148,0.17449030660092832,,
0.05589047852531076,0.06826133415102958,0.28389884722232817,0.2864782285392285,,
0.19790761981531974,0.2068188053444028,0.3217360113859176,0.32289419031143185,,
9.628711955547333,9.506051558494567,5.785981583118439,6.353868569850922,48.84520210266113,45.63117664337158
10.373285883903502,9.93550671005249,5.551216557979584,6.164251885890961,,
8.342673300266267,11.221951850891113,5.902766595840454,6.401987618923187,,
11.492989757537842,15.051763999938965,13.377700899124147,13.418454240798951,,
14.027934553146363,12.96824255657196,30.93910260009766,32.27255848312378,,
16.749050861358644,18.459018629074095,61.659113769531245,61.94225438690186,,
21.96938432884216,25.075067905426028,109.15637477111818,110.59895089721681,,
47.33428497505188,48.743379787445065,110.77699269104002,110.81187315368652,,
